pos,White,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican
19310.0,0.8441820723939724,0.004298068458391591,0.03883796799751437,0.05618559370307079,0.02169747812127803,0.016985138004246284,0.013049557247164828,0.004764124074361763
19320.0,0.8442627193209461,0.004295843900419233,0.03881786657005331,0.056156513638010455,0.021686248123803115,0.01697634697996998,0.013042803167537913,0.004761658299259872
19330.0,0.8443432828099943,0.004293621643991516,0.038797785939682375,0.05612746365940717,0.02167502974496922,0.016967565050954425,0.013036056075733278,0.004759195075267704
19340.0,0.8444237629905382,0.004291401685538493,0.03877772607414301,0.056098443720593555,0.021663822966754565,0.016958792203091877,0.013029315960912053,0.004756734398428209
19350.0,0.8445041599917317,0.004289184021497597,0.03875768694124335,0.05606945377499871,0.021652627771174618,0.016950028422303757,0.013022582812257764,0.004754276264792517
19360.0,0.8445844739424616,0.00428696864831362,0.038737668508858014,0.05604049377614793,0.02164144414028201,0.01694127369454057,0.013015856618976293,0.004751820670419916
19370.0,0.8446647049713489,0.004284755562438697,0.03871767074492798,0.05601156367766248,0.021630272056166435,0.01693252800578184,0.013009137370295803,0.004749367611377833
19380.0,0.8444868685826324,0.004282544760332284,0.0386976936174604,0.055982663433259375,0.02161911150095454,0.016923791342036015,0.013002425055466693,0.005004901707858211
19390.0,0.8440513640348616,0.004589758135217369,0.03867773709452839,0.05595379299675107,0.02160796245680986,0.016915063689340416,0.013047289979887577,0.005157031612603785
19400.0,0.8436163084377094,0.004587392402453482,0.03865780114427091,0.05592495232204526,0.021596824905932684,0.016906345033761146,0.013556002267924333,0.005154373485902789
19410.0,0.8431817010973159,0.0045850291072072535,0.03863788573489259,0.05589614136314461,0.021585698830559993,0.017361289990211734,0.01360053577868219,0.005151718097985678
19420.0,0.8427475413212502,0.004582668245713403,0.03861799083466351,0.05586736007414654,0.021574584212965348,0.017867257092837648,0.013593532773801554,0.005149065444621801
19430.0,0.8423138284185065,0.004580309814214399,0.0385981164119191,0.05594153671967474,0.0215634810354588,0.018269775101641707,0.013586536976995522,0.005146415521589213
19440.0,0.8418805616995011,0.004577953808960445,0.03857826243505993,0.056427138521680985,0.021552389280386813,0.01826037755259503,0.013579548377141093,0.005143768324674657
19450.0,0.8414477404760681,0.00457560022620945,0.03855842887255154,0.05691224101588607,0.021541308930132126,0.01825098966634106,0.013572566963138142,0.005141123849673539
19460.0,0.8410153640614563,0.004573249062227018,0.03853861569292431,0.05739684497199527,0.021530239967113715,0.018241611427984174,0.013565592723909357,0.005138482092389908
19470.0,0.8405834317703251,0.004570900313286426,0.038518822864773254,0.057880951158132604,0.021519182373786656,0.01823224282265934,0.013558625648400185,0.005135843048636434
19480.0,0.8401519429187413,0.0045685539756686,0.038499050356757866,0.058364560340844925,0.02150813613264206,0.018222883835532055,0.01355166572557877,0.005133206714234382
19490.0,0.8397208968241753,0.0045662100456621,0.038479298137601974,0.05884767328510595,0.021497101226206967,0.018213534451798265,0.013544712944435893,0.005130573085013596
19500.0,0.8392902928054972,0.0045638685195631,0.038459566176093536,0.059330290754320295,0.021486077637044253,0.018204194656684273,0.013537767293984924,0.005127942156812471
19510.0,0.8388601301829737,0.004561529393675362,0.03843985444108452,0.059812413510327504,0.02147506534775255,0.01819486443544667,0.01353082876326175,0.005125313925477936
19520.0,0.8384304082782644,0.00455919266431023,0.0384201629014907,0.060242815429537425,0.021515291224834792,0.018185543773372267,0.013523897341324727,0.005122688386865427
19530.0,0.8380011264144182,0.004556858327786596,0.03840049152629154,0.06021197071322513,0.02201628180840715,0.018176232655777995,0.013516973017254621,0.005120065536838871
19540.0,0.8375722839158692,0.004554526380430889,0.03838084028452996,0.06018115756614298,0.022516759633590913,0.018166931068010848,0.013510055780154547,0.005117445371270662
19550.0,0.8371438801084343,0.004552196818577055,0.03836120914531226,0.06015037593984962,0.023016725487187355,0.018157638995447804,0.013503145619149915,0.005114827886041635
19560.0,0.8370226471039313,0.004549869638566535,0.03834159807780788,0.06011962578600276,0.02310720310822555,0.018148356423495732,0.013496242523388375,0.005214457338581872
19570.0,0.8371059220274897,0.00454754483674825,0.038322007051249295,0.0600889070563589,0.02309539624955291,0.018139083337591334,0.013489346482039753,0.005211792958969904
19580.0,0.8371891118941831,0.004545222409478576,0.038302436034931824,0.0600582197027731,0.023083601450385578,0.018129819723201063,0.013482457484296,0.005209131300750728
19590.0,0.8372722168342607,0.004542902353121331,0.038282884998213466,0.06002756367719871,0.02307181869225665,0.01812056556582104,0.01347557551937114,0.005206472359757032
